Processor,Manufacturer,Family,Model,Cores,base_clock_speed,TDP,num_cores,Source,
AMD EPYC 7302 32C 3GHz,AMD,EPYC,7302,32C,3GHz,155,16,MLCA/Boavizta,
AMD EPYC 7313 16C 3GHz,AMD,EPYC,7313,16C,3GHz,155,16,MLCA/Boavizta,
EPYC 7352 24C 2.3GHz,AMD,EPYC,7352,24C,2.3GHz,155,24,MLCA/Boavizta,
AMD EPYC 7402 24C 2.8GHz,AMD,EPYC,7402,24C,2.8GHz,180,24,MLCA/Boavizta,
AMD EPYC 7413 24C 2.65GHz,AMD,EPYC,7413,24C,2.65GHz,180,24,MLCA/Boavizta,
AMD EPYC 7452 32C 2.35GHz,AMD,EPYC,7452,32C,2.35GHz,155,32,MLCA/Boavizta,
AMD Epyc 7501 32C 2GHz,AMD,Epyc,7501,32C,2GHz,170,32,MLCA/Boavizta,
AMD EPYC 7513 32C 2.6GHz,AMD,EPYC,7513,32C,2.6GHz,200,32,MLCA/Boavizta,
AMD EPYC 7532 32C 2.4GHz,AMD,EPYC,7532,32C,2.4GHz,200,32,MLCA/Boavizta,
AMD EPYC 7542 32C 2.9GHz,AMD,EPYC,7542,32C,2.9GHz,225,32,MLCA/Boavizta,
AMD  EPYC 7543 32C 2.8GHz,AMD,EPYC,7543,32C,2.8GHz,225,32,MLCA/Boavizta,
AMD Epyc 7601 32C 2.2GHz,AMD,Epyc,7601,32C,2.2GHz,180,32,MLCA/Boavizta,
AMD EPYC 7643 48C 2.3GHz,AMD,EPYC,7643,48C,2.3GHz,225,48,MLCA/Boavizta,
AMD EPYC 7662 64C 2GHz,AMD,EPYC,7662,64C,2GHz,225,64,MLCA/Boavizta,
AMD EPYC 7702 64C 2GHz,AMD,EPYC,7702,64C,2GHz,200,64,MLCA/Boavizta,
AMD EPYC 7713 64C 2GHz,AMD,EPYC,7713,64C,2GHz,225,64,MLCA/Boavizta,
AMD EPYC 7713 64C 3.7GHz,AMD,EPYC,7713,64C,3.7GHz,225,64,MLCA/Boavizta,
AMD EPYC 7742 64C 2.25GHz,AMD,EPYC,7742,64C,2.25GHz,225,64,MLCA/Boavizta,
AMD EPYC 7763 64C 2.45GHz,AMD,EPYC,7763,64C,2.45GHz,280,64,MLCA/Boavizta,
AMD EPYC 9334 32C 2.7GHz,AMD,EPYC,9334,32C,2.7GHz,210,32,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9334 32C 3GHz,AMD,EPYC,9334,32C,3GHz,210,32,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9354 32C 3.25GHz,AMD,EPYC,9354,32C,3.25GHz,280,32,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9454 48C 2.75GHz,AMD,EPYC,9454,48C,2.75GHz,290,48,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9454 48C 3.65GHz,AMD,EPYC,9454,48C,3.65GHz,290,48,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9534 64C 2.45GHz,AMD,EPYC,9534,64C,2.45GHz,280,64,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9554 64C 3.1GHz,AMD,EPYC,9554,64C,3.1GHz,360,64,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9654 96C 2.4GHz,AMD,EPYC,9654,96C,2.4GHz,360,96,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 9654 96C 3.55GHz,AMD,EPYC,9654,96C,3.55GHz,360,96,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series.html,
AMD EPYC 74F3 24C 3.2GHz,AMD,EPYC,74F3,24C,3.2GHz,240,24,AMD site,
AMD  EPYC 7702P 64C 1.5GHz,AMD,EPYC,7702P,64C,1.5GHz,200,64,AMD site,
AMD EPYC 7F52 16C 3.5GHz,AMD,EPYC,7F52,16C,3.5GHz,155,16,AMD site,
AMD EPYC 7H12 64C 2.6GHz,AMD,EPYC,7H12,64C,2.6GHz,280,64,AMD site,
AMD Rome 7H12 64C 2.6GHz,AMD,EPYC,7H12,64C,2.6GHz,280,64,AMD site,
AMD EPYC 7V12 48C 2.45GHz,AMD,EPYC,7V12,48C,2.45GHz,240,64,AMD site,
AMD 4th Gen EPYC 24C 1.8GHz,AMD,EPYC,8324P,24C,1.8GHz,180,24,AMD site,
AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD,EPYC,7773X,64C,2GHz,280,64,AMD site,
Cavium ThunderX2 CN9975-2000  28C 2GHz,Cavium,ThunderX2,CN9975-2000,28C,2GHz,180,28,AMD site,
A64FX 48C 2.2GHz,Fujitsu,,A64FX,48C,2.2GHz,150,48,Estimate based on similar models,
Fujitsu A64FX 48C 2GHz,Fujitsu,,A64FX,48C,2GHz,150,48,Estimate based on similar models,
Grace Hopper Superchip 72C 3GHz,Grace,Hopper,Superchip,72C,3GHz,450,72,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.aspsys.com/wp-content/uploads/2023/09/nvidia-grace-hopper-cpu-datasheet.pdf,
NVIDIA Grace 72C 3.1GHz,Grace,Hopper,,72C,3.1GHz,200,72,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.aspsys.com/wp-content/uploads/2023/09/nvidia-grace-hopper-cpu-datasheet.pdf,
Hygon Dhyana 32C 2GHz,Hygon,EPYC,7501,32C,2GHz,170,32,https://www.anandtech.com/show/15493/hygon-dhyana-reviewed-chinese-x86-cpus-amd/2,
Hygon Dhyana (Epyc 7501) 32C 2GHz,Hygon,EPYC,7501,32C,2GHz,170,32,https://www.anandtech.com/show/15493/hygon-dhyana-reviewed-chinese-x86-cpus-amd/2,
IBM Power8+ 10C 2.86GHz,IBM,Power8+,,10C,2.86GHz,140,10,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://wiki.raptorcs.com/w/images/9/93/POWER8_DS_v2.4_08AUG2018_pub.pdf,
IBM Power8+ 8C 3.26GHz,IBM,Power8+,,8C,3.26GHz,130,8,Estimate based on aggregated sources,
IBM POWER9 16C 3GHz,IBM,POWER9,,16C,3GHz,180,16,Estimate based on aggregated sources,
IBM POWER9 18C 3.45GHz,IBM,POWER9,,18C,3.45GHz,180,18,Estimate based on aggregated sources,
IBM POWER9  20C 2.4GHz,IBM,POWER9,,20C,2.4GHz,150,20,Estimate based on aggregated sources,
IBM POWER9 20C 3.45GHz,IBM,POWER9,,20C,3.45GHz,200,20,Estimate based on aggregated sources,
IBM POWER9 20C 3.6GHz,IBM,POWER9,,20C,3.6GHz,200,20,Estimate based on aggregated sources,
IBM POWER9 22C 3.07GHz,IBM,POWER9,,22C,3.07GHz,300,22,Estimate based on aggregated sources,
IBM POWER9 22C 3.1GHz,IBM,POWER9,,22C,3.1GHz,300,22,Estimate based on aggregated sources,
Itanium 2 Montecito 2C 1.600GHz,Intel,Itanium 2,Montecito,2C,1.600GHz,122,2,Estimate based on aggregated sources,
Marvell ThunderX2 CN9975-2000  28C 2GHz,Marvell ,ThunderX2,CN9975-2000,28C,2GHz,180,28,https://www.anandtech.com/show/12694/assessing-cavium-thunderx2-arm-server-reality/2,
NEC  3.200GHz,NEC,Vector Engine,SX-9/E,,3.200GHz,60,1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.nec.com/en/global/solutions/hpc/sx/docs/SX_Aurora_TSUBASA_brochure_2020_oct.pdf,
Opteron Dual Core 2C 2.200GHz,Opteron,Dual,Core,2C,2.200GHz,95,2,TechPowerUP,
Opteron Dual Core 2C 2.400GHz,Opteron,Dual,Core,2C,2.400GHz,95,2,TechPowerUP,
Opteron Quad Core 4C 1.900GHz,Opteron,Quad,Core,4C,1.900GHz,95,4,TechPowerUP,
Opteron Quad Core 4C 1.9GHz,Opteron,Quad,Core,4C,1.9GHz,95,4,TechPowerUP,
Opteron Quad Core 4C 2.000GHz,Opteron,Quad,Core,4C,2.000GHz,95,4,TechPowerUP,
Opteron Quad Core 4C 2.200GHz,Opteron,Quad,Core,4C,2.200GHz,95,4,TechPowerUP,
Opteron Quad Core 4C 2.300GHz,Opteron,Quad,Core,4C,2.300GHz,95,4,TechPowerUP,
Opteron Quad Core 4C 2.400GHz,Opteron,Quad,Core,4C,2.400GHz,119,4,TechPowerUP,
Opteron Quad Core 4C 2.4GHz,Opteron,Quad,Core,4C,2.4GHz,119,4,TechPowerUP,
Opteron Six Core 6C 2.600GHz,Opteron,Six,Core,6C,2.600GHz,95,6,TechPowerUP,
Opteron 4171 6C 2.100GHz,Opteron,,4171,6C,2.100GHz,50,6,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 4171 6C 2.1GHz,Opteron,,4171,6C,2.1GHz,50,6,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6128 8C 2.000GHz,Opteron,,6128,8C,2.000GHz,115,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6132 HE 8C 2.200GHz,Opteron,,6132HE,8C,2.200GHz,85,5,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6132 HE 8C 2.2GHz,Opteron,,6132HE,8C,2.2GHz,85,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6134 8C 2.300GHz,Opteron,,6134,8C,2.300GHz,115,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6136 8C 2.400GHz,Opteron,,6136,8C,2.400GHz,115,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6136 8C 2.4GHz,Opteron,,6136,8C,2.4GHz,115,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6140 8C 2.600GHz,Opteron,,6140,8C,2.600GHz,115,8,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6172 12C 2.100GHz,Opteron,,6172,12C,2.100GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6172 12C 2.1GHz,Opteron,,6172,12C,2.1GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6174 12C 2.200GHz,Opteron,,6174,12C,2.200GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6174 12C 2.2GHz,Opteron,,6174,12C,2.2GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6176 12C 2.300GHz,Opteron,,6176,12C,2.300GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6176 12C 2.3GHz,Opteron,,6176,12C,2.3GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6234  12C 2.400GHz,Opteron,,6234,12C,2.400GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6238 12C 2.600GHz,Opteron,,6238,12C,2.600GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6272 16C 2.100GHz,Opteron,,6272,16C,2.100GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6272 16C 2.1GHz,Opteron,,6272,16C,2.1GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6274 16C 2.200GHz,Opteron,,6274,16C,2.200GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6274 16C 2.2GHz,Opteron,,6274,16C,2.2GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6276 16C 2.300GHz,Opteron,,6276,16C,2.300GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6276 16C 2.3GHz,Opteron,,6276,16C,2.3GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6278 16C 2.400GHz,Opteron,,6278,16C,2.400GHz,115,16,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6344 12C 2.6GHz,Opteron,,6344,12C,2.6GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6348 12C 2.800GHz,Opteron,,6348,12C,2.800GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
Opteron 6348 12C 2.8GHz,Opteron,,6348,12C,2.8GHz,115,12,https://en.wikipedia.org/wiki/List_of_AMD_Opteron_processors,
