Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,United Arab Emirates,United Arab Emirates,AE,305.23,407.88,17.82,2.92,Electricity Maps Estimation
01/02/2022 00:00,United Arab Emirates,United Arab Emirates,AE,305.45,407.31,18,3.33,Electricity Maps Estimation
01/03/2022 00:00,United Arab Emirates,United Arab Emirates,AE,293.39,393.26,21.05,5.97,Electricity Maps Estimation
01/04/2022 00:00,United Arab Emirates,United Arab Emirates,AE,299.25,401.12,19.21,6.45,Electricity Maps Estimation
01/05/2022 00:00,United Arab Emirates,United Arab Emirates,AE,296.36,397.47,20.1,6.76,Electricity Maps Estimation
01/06/2022 00:00,United Arab Emirates,United Arab Emirates,AE,306.88,410.55,17.25,5.93,Electricity Maps Estimation
01/07/2022 00:00,United Arab Emirates,United Arab Emirates,AE,303.36,406.77,18.43,6.08,Electricity Maps Estimation
01/08/2022 00:00,United Arab Emirates,United Arab Emirates,AE,302.68,405.1,18.44,5.59,Electricity Maps Estimation
01/09/2022 00:00,United Arab Emirates,United Arab Emirates,AE,307.02,410.69,17.1,5.15,Electricity Maps Estimation
01/10/2022 00:00,United Arab Emirates,United Arab Emirates,AE,301.88,404.14,18.5,4.94,Electricity Maps Estimation
01/11/2022 00:00,United Arab Emirates,United Arab Emirates,AE,311.56,415.76,15.97,3.32,Electricity Maps Estimation
01/12/2022 00:00,United Arab Emirates,United Arab Emirates,AE,306.55,409.28,17.34,3.03,Electricity Maps Estimation
