Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2024 00:00,Australia,Australia,AU,435.81,488.33,39.76,39.76,
01/02/2024 00:00,Australia,Australia,AU,438.35,491.54,39.11,39.11,
01/03/2024 00:00,Australia,Australia,AU,441.82,493.85,39.16,39.16,
01/04/2024 00:00,Australia,Australia,AU,457.64,510.95,36.45,36.45,
01/05/2024 00:00,Australia,Australia,AU,484.22,540.25,31.39,31.39,
01/06/2024 00:00,Australia,Australia,AU,498.64,556.75,28.38,28.38,
01/07/2024 00:00,Australia,Australia,AU,462.93,518.03,33.72,33.72,
01/08/2024 00:00,Australia,Australia,AU,434.57,487.71,38.24,38.24,
01/09/2024 00:00,Australia,Australia,AU,396.88,446.74,44.77,44.77,
01/10/2024 00:00,Australia,Australia,AU,382.63,433.39,46.62,46.62,
01/11/2024 00:00,Australia,Australia,AU,390.16,442.99,44.59,44.59,
01/12/2024 00:00,Australia,Australia,AU,395.52,448.49,44.17,44.17,
