Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Belgium,Belgium,BE,164.46,220.10,64.95,20.80,Electricity Maps Estimation; entsoe.eu
2022-02-01 00:00:00,Belgium,Belgium,BE,123.04,167.13,75.42,33.01,entsoe.eu
2022-03-01 00:00:00,Belgium,Belgium,BE,161.25,217.14,67.15,26.07,entsoe.eu
2022-04-01 00:00:00,Belgium,Belgium,BE,116.91,163.98,75.74,30.63,entsoe.eu
2022-05-01 00:00:00,Belgium,Belgium,BE,113.68,160.56,74.43,27.43,Electricity Maps Estimation; entsoe.eu
2022-06-01 00:00:00,Belgium,Belgium,BE,137.46,193.74,70.32,30.61,entsoe.eu
2022-07-01 00:00:00,Belgium,Belgium,BE,152.16,213.16,66.47,29.68,entsoe.eu
2022-08-01 00:00:00,Belgium,Belgium,BE,147.56,206.87,65.80,24.52,entsoe.eu
2022-09-01 00:00:00,Belgium,Belgium,BE,139.51,194.26,68.68,24.30,entsoe.eu
2022-10-01 00:00:00,Belgium,Belgium,BE,142.23,197.19,67.71,27.62,entsoe.eu
2022-11-01 00:00:00,Belgium,Belgium,BE,127.56,176.19,73.33,29.93,entsoe.eu
2022-12-01 00:00:00,Belgium,Belgium,BE,180.13,238.95,62.01,23.70,entsoe.eu
