Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Bulgaria,Bulgaria,BG,389.94,412.23,56.54,20.30,Electricity Maps Estimation; eso.bg
2021-02-01 00:00:00,Bulgaria,Bulgaria,BG,373.53,395.55,58.34,20.96,Electricity Maps Estimation; eso.bg
2021-03-01 00:00:00,Bulgaria,Bulgaria,BG,392.51,414.56,56.59,19.77,Electricity Maps Estimation; eso.bg
2021-04-01 00:00:00,Bulgaria,Bulgaria,BG,448.55,469.85,51.84,22.10,eso.bg
2021-05-01 00:00:00,Bulgaria,Bulgaria,BG,445.33,467.10,52.62,27.69,eso.bg
2021-06-01 00:00:00,Bulgaria,Bulgaria,BG,260.96,282.22,70.01,25.68,Electricity Maps Estimation; eso.bg
2021-07-01 00:00:00,Bulgaria,Bulgaria,BG,415.73,435.27,55.87,17.40,Electricity Maps Estimation; eso.bg
2021-08-01 00:00:00,Bulgaria,Bulgaria,BG,454.16,471.54,53.29,13.41,Electricity Maps Estimation; eso.bg
2021-09-01 00:00:00,Bulgaria,Bulgaria,BG,512.85,530.73,47.34,11.74,Electricity Maps Estimation; eso.bg
2021-10-01 00:00:00,Bulgaria,Bulgaria,BG,646.11,666.82,33.62,13.51,Electricity Maps Estimation; eso.bg
2021-11-01 00:00:00,Bulgaria,Bulgaria,BG,531.23,549.75,44.85,10.23,Electricity Maps Estimation; eso.bg
2021-12-01 00:00:00,Bulgaria,Bulgaria,BG,504.31,524.18,47.13,15.26,eso.bg
