Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Brazil,Brazil,BR,77.89,114.39,86.45,83.66,
2022-02-01 00:00:00,Brazil,Brazil,BR,55.58,88.17,90.34,87.78,
2022-03-01 00:00:00,Brazil,Brazil,BR,45.82,76.60,92.03,89.36,
2022-04-01 00:00:00,Brazil,Brazil,BR,37.42,66.69,93.49,90.61,
2022-05-01 00:00:00,Brazil,Brazil,BR,54.96,87.05,90.44,87.54,
2022-06-01 00:00:00,Brazil,Brazil,BR,71.73,106.80,87.52,85.93,
2022-07-01 00:00:00,Brazil,Brazil,BR,68.62,102.72,88.07,86.78,
2022-08-01 00:00:00,Brazil,Brazil,BR,67.58,101.18,88.25,85.85,
2022-09-01 00:00:00,Brazil,Brazil,BR,67.98,101.69,88.18,85.90,
2022-10-01 00:00:00,Brazil,Brazil,BR,61.78,94.37,89.25,86.32,
2022-11-01 00:00:00,Brazil,Brazil,BR,57.17,89.87,90.06,88.39,
2022-12-01 00:00:00,Brazil,Brazil,BR,43.34,73.49,92.46,89.60,
