Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2024 00:00,Switzerland,Switzerland,CH,41.36,65.96,93.87,57.41,Electricity Maps Estimation
01/02/2024 00:00,Switzerland,Switzerland,CH,29.34,52.31,95.62,57.39,Electricity Maps Estimation
01/03/2024 00:00,Switzerland,Switzerland,CH,17.83,39.68,97.05,58.28,Electricity Maps Estimation
01/04/2024 00:00,Switzerland,Switzerland,CH,7.52,28.27,98.64,60.27,Electricity Maps Estimation
01/05/2024 00:00,Switzerland,Switzerland,CH,4.34,24.56,99.3,60.47,Electricity Maps Estimation
01/06/2024 00:00,Switzerland,Switzerland,CH,3.86,24.71,99.34,62.06,Electricity Maps Estimation
01/07/2024 00:00,Switzerland,Switzerland,CH,2.86,24.27,99.52,64.83,Electricity Maps Estimation
01/08/2024 00:00,Switzerland,Switzerland,CH,5.3,27.29,99.18,64.5,Electricity Maps Estimation
01/09/2024 00:00,Switzerland,Switzerland,CH,6.54,27.33,99.04,61.23,Electricity Maps Estimation
01/10/2024 00:00,Switzerland,Switzerland,CH,5.33,25.24,99.13,59.55,Electricity Maps Estimation
01/11/2024 00:00,Switzerland,Switzerland,CH,28.92,52.01,95.43,54.9,Electricity Maps Estimation
01/12/2024 00:00,Switzerland,Switzerland,CH,42.77,67.94,93.63,57.04,Electricity Maps Estimation
