Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Denmark,Denmark,DK,108.44,166.14,81.87,76.86,entsoe.eu
2023-02-01 00:00:00,Denmark,Denmark,DK,94.07,154.80,83.42,77.72,entsoe.eu
2023-03-01 00:00:00,Denmark,Denmark,DK,105.43,164.41,81.81,77.37,entsoe.eu
2023-04-01 00:00:00,Denmark,Denmark,DK,70.12,124.88,87.73,80.69,entsoe.eu
2023-05-01 00:00:00,Denmark,Denmark,DK,46.84,97.17,91.15,85.30,entsoe.eu
2023-06-01 00:00:00,Denmark,Denmark,DK,59.34,106.21,89.46,79.09,entsoe.eu
2023-07-01 00:00:00,Denmark,Denmark,DK,46.73,86.04,92.10,82.34,entsoe.eu
2023-08-01 00:00:00,Denmark,Denmark,DK,69.02,110.22,88.43,78.85,entsoe.eu
2023-09-01 00:00:00,Denmark,Denmark,DK,52.60,97.41,90.78,84.48,entsoe.eu
2023-10-01 00:00:00,Denmark,Denmark,DK,50.26,82.69,91.24,83.86,entsoe.eu
2023-11-01 00:00:00,Denmark,Denmark,DK,119.85,173.16,80.26,73.95,entsoe.eu
2023-12-01 00:00:00,Denmark,Denmark,DK,133.83,192.54,78.49,75.35,entsoe.eu
