Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,Great Britain,Great Britain,GB,165.45,234.52,58.57,42.23,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/02/2022 00:00,Great Britain,Great Britain,GB,108.56,159.76,74.48,59.02,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/03/2022 00:00,Great Britain,Great Britain,GB,157.52,223.26,61.17,43.98,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/04/2022 00:00,Great Britain,Great Britain,GB,150.52,216.77,61.14,44.64,elexon.co.uk;  nationalgrideso.com
01/05/2022 00:00,Great Britain,Great Britain,GB,151.58,216.69,59.64,43.67,elexon.co.uk;  nationalgrideso.com
01/06/2022 00:00,Great Britain,Great Britain,GB,151.03,218.15,60.35,43.44,elexon.co.uk;  nationalgrideso.com
01/07/2022 00:00,Great Britain,Great Britain,GB,167.75,240.02,57.24,43.16,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/08/2022 00:00,Great Britain,Great Britain,GB,178.96,256.44,53.53,39.22,elexon.co.uk;  nationalgrideso.com
01/09/2022 00:00,Great Britain,Great Britain,GB,175.96,249.16,55.65,41.87,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/10/2022 00:00,Great Britain,Great Britain,GB,137.25,195.66,64.03,50.43,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/11/2022 00:00,Great Britain,Great Britain,GB,149.81,214.09,61.03,48.05,bmreports.com; elexon.co.uk;  nationalgrideso.com
01/12/2022 00:00,Great Britain,Great Britain,GB,163.27,227.47,59.85,42.44,elexon.co.uk;  nationalgrideso.com
