Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-02-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-03-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-04-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-05-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-06-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-07-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-08-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-09-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-10-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-11-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
2022-12-01 00:00:00,Hong Kong,Hong Kong,HK,360.00,435.36,28.00,0.00,Electricity Maps Estimation
