Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2024 00:00,Hungary,Hungary,HU,214.18,256.81,67.98,25.23,entsoe.eu
01/02/2024 00:00,Hungary,Hungary,HU,213.69,254.26,69.57,27.43,entsoe.eu
01/03/2024 00:00,Hungary,Hungary,HU,211.39,252.74,70.51,29.85,entsoe.eu
01/04/2024 00:00,Hungary,Hungary,HU,169.01,205.12,77.14,34.02,entsoe.eu
01/05/2024 00:00,Hungary,Hungary,HU,159.45,193.52,79.06,39.84,entsoe.eu
01/06/2024 00:00,Hungary,Hungary,HU,163.3,196.61,79.38,40.08,entsoe.eu
01/07/2024 00:00,Hungary,Hungary,HU,168.82,202.52,77.66,36.78,entsoe.eu; Electricity Maps Estimation
01/08/2024 00:00,Hungary,Hungary,HU,206.27,243.57,73.06,29.02,entsoe.eu
01/09/2024 00:00,Hungary,Hungary,HU,195.91,234.16,74.1,31.13,entsoe.eu
01/10/2024 00:00,Hungary,Hungary,HU,193.85,233.67,72.57,29.79,entsoe.eu
01/11/2024 00:00,Hungary,Hungary,HU,253.28,303.7,62.13,19.61,entsoe.eu
01/12/2024 00:00,Hungary,Hungary,HU,254.09,303.12,63.09,19.32,entsoe.eu
