Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,Ireland,Ireland,IE,339.76,415.7,39.16,39.02,Electricity Maps Estimation
01/02/2022 00:00,Ireland,Ireland,IE,216.42,270.48,59.83,59.67,Electricity Maps Estimation
01/03/2022 00:00,Ireland,Ireland,IE,331.56,409.73,39.69,39.57,Electricity Maps Estimation
01/04/2022 00:00,Ireland,Ireland,IE,330,409.99,36.8,36.8,Electricity Maps Estimation
01/05/2022 00:00,Ireland,Ireland,IE,325.25,406.71,36.92,36.79,Electricity Maps Estimation
01/06/2022 00:00,Ireland,Ireland,IE,352.43,437.09,31.73,31.4,Electricity Maps Estimation
01/07/2022 00:00,Ireland,Ireland,IE,382.76,477.26,25.16,24.8,Electricity Maps Estimation
01/08/2022 00:00,Ireland,Ireland,IE,392.81,486.58,23.84,23.64,Electricity Maps Estimation
01/09/2022 00:00,Ireland,Ireland,IE,388.71,476.53,29.55,29.46,Electricity Maps Estimation
01/10/2022 00:00,Ireland,Ireland,IE,274.27,340.81,50.69,50.47,Electricity Maps Estimation
01/11/2022 00:00,Ireland,Ireland,IE,270.71,334.45,51.66,51.53,Electricity Maps Estimation
01/12/2022 00:00,Ireland,Ireland,IE,335.62,411.27,40.59,40.24,Electricity Maps Estimation
