Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,India,Northern India,IN-NO,545.48,599.84,27.36,23.99,Electricity Maps Estimation
01/02/2022 00:00,India,Northern India,IN-NO,538.75,593.16,28.33,24.84,Electricity Maps Estimation
01/03/2022 00:00,India,Northern India,IN-NO,518.2,571.63,31.06,27.89,Electricity Maps Estimation
01/04/2022 00:00,India,Northern India,IN-NO,523.81,577.99,29.94,27.53,Electricity Maps Estimation
01/05/2022 00:00,India,Northern India,IN-NO,494.21,546.54,33.96,31.76,Electricity Maps Estimation
01/06/2022 00:00,India,Northern India,IN-NO,487.39,539.29,34.76,33.14,Electricity Maps Estimation
01/07/2022 00:00,India,Northern India,IN-NO,449.15,498.91,40.15,37.98,Electricity Maps Estimation
01/08/2022 00:00,India,Northern India,IN-NO,442.56,491.95,41.08,38.93,Electricity Maps Estimation
01/09/2022 00:00,India,Northern India,IN-NO,452.73,502.49,39.73,37.59,Electricity Maps Estimation
01/10/2022 00:00,India,Northern India,IN-NO,488.16,539.82,35.22,32.31,Electricity Maps Estimation
01/11/2022 00:00,India,Northern India,IN-NO,531.38,585.19,29.32,26.71,Electricity Maps Estimation
01/12/2022 00:00,India,Northern India,IN-NO,554.45,609.37,26.1,23.74,Electricity Maps Estimation
