Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,India,Southern India,IN-SO,469.42,518.44,37.93,30.87,Electricity Maps Estimation
01/02/2023 00:00,India,Southern India,IN-SO,501.72,552.37,33.65,26.74,Electricity Maps Estimation
01/03/2023 00:00,India,Southern India,IN-SO,524.24,576.12,30.67,23.4,Electricity Maps Estimation
01/04/2023 00:00,India,Southern India,IN-SO,541.74,594.54,28.37,22.34,Electricity Maps Estimation
01/05/2023 00:00,India,Southern India,IN-SO,525.56,577.31,30.51,25.26,Electricity Maps Estimation
01/06/2023 00:00,India,Southern India,IN-SO,497.27,546.06,34.25,29.76,Electricity Maps Estimation
01/07/2023 00:00,India,Southern India,IN-SO,453.22,499.88,40.01,34.97,Electricity Maps Estimation
01/08/2023 00:00,India,Southern India,IN-SO,460.11,507.46,39.13,33.28,Electricity Maps Estimation
01/09/2023 00:00,India,Southern India,IN-SO,486.65,535.36,35.62,28.89,Electricity Maps Estimation
01/10/2023 00:00,India,Southern India,IN-SO,536.36,588.49,29.1,22.49,Electricity Maps Estimation
01/11/2023 00:00,India,Southern India,IN-SO,519.88,571.77,31.34,23.66,Electricity Maps Estimation
01/12/2023 00:00,India,Southern India,IN-SO,495.77,546.33,34.43,27.16,Electricity Maps Estimation
