Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,Mexico,Mexico,MX,291.65,384.55,24.33,19.87,cenace.gob.mx
01/02/2023 00:00,Mexico,Mexico,MX,290.8,383.38,24.71,20.32,cenace.gob.mx
01/03/2023 00:00,Mexico,Mexico,MX,294.14,387.05,23.94,19.83,cenace.gob.mx
01/04/2023 00:00,Mexico,Mexico,MX,292.01,384.8,24.3,20.29,cenace.gob.mx
01/05/2023 00:00,Mexico,Mexico,MX,296.86,392.35,22.11,18.67,cenace.gob.mx
01/06/2023 00:00,Mexico,Mexico,MX,300.66,396.26,21.4,18.08,cenace.gob.mx
01/07/2023 00:00,Mexico,Mexico,MX,298.29,394.2,21.13,17.84,cenace.gob.mx
01/08/2023 00:00,Mexico,Mexico,MX,303.05,399.72,20.32,17.11,cenace.gob.mx
01/09/2023 00:00,Mexico,Mexico,MX,301.05,397.63,20.67,18.24,cenace.gob.mx
01/10/2023 00:00,Mexico,Mexico,MX,309.45,407.08,19.08,17.25,cenace.gob.mx
01/11/2023 00:00,Mexico,Mexico,MX,304.39,401.15,20.35,17.06,cenace.gob.mx
01/12/2023 00:00,Mexico,Mexico,MX,297.55,393.65,21.4,16.73,cenace.gob.mx
