Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Malaysia,Malaysia,MY,464.94,535.41,24.42,24.42,
01/02/2021 00:00,Malaysia,Malaysia,MY,476.3,552.03,20.18,20.18,
01/03/2021 00:00,Malaysia,Malaysia,MY,497.75,571.88,18.78,18.78,
01/04/2021 00:00,Malaysia,Malaysia,MY,495.34,571.59,17.4,17.4,
01/05/2021 00:00,Malaysia,Malaysia,MY,492.37,568.87,17.8,17.8,
01/06/2021 00:00,Malaysia,Malaysia,MY,482.45,560.04,17.82,17.82,
01/07/2021 00:00,Malaysia,Malaysia,MY,484.81,560.52,19.04,19.04,
01/08/2021 00:00,Malaysia,Malaysia,MY,487.17,562.76,18.83,18.83,
01/09/2021 00:00,Malaysia,Malaysia,MY,504.81,579.45,17.48,17.48,
01/10/2021 00:00,Malaysia,Malaysia,MY,497.48,571.9,18.56,18.56,
01/11/2021 00:00,Malaysia,Malaysia,MY,478.75,556.9,18.16,18.16,
01/12/2021 00:00,Malaysia,Malaysia,MY,472.2,547.9,20.17,20.17,
