Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Norway,Norway,NO,6.17,30.76,98.99,98.57,entsoe.eu
01/02/2021 00:00,Norway,Norway,NO,8.06,32.58,98.78,97.98,entsoe.eu
01/03/2021 00:00,Norway,Norway,NO,6.34,30.51,98.95,97.91,entsoe.eu
01/04/2021 00:00,Norway,Norway,NO,6.35,30.87,98.88,97.54,entsoe.eu
01/05/2021 00:00,Norway,Norway,NO,7.86,33.42,98.61,97.37,entsoe.eu
01/06/2021 00:00,Norway,Norway,NO,4.69,29.33,99.08,98.82,entsoe.eu
01/07/2021 00:00,Norway,Norway,NO,6.66,31.61,98.75,98.08,entsoe.eu
01/08/2021 00:00,Norway,Norway,NO,9.69,34.99,98.36,97.57,entsoe.eu
01/09/2021 00:00,Norway,Norway,NO,6.9,31.47,98.77,97.68,entsoe.eu
01/10/2021 00:00,Norway,Norway,NO,8.06,32.43,98.68,97.28,entsoe.eu
01/11/2021 00:00,Norway,Norway,NO,5.79,30.01,98.98,98.15,entsoe.eu
01/12/2021 00:00,Norway,Norway,NO,12.03,36.89,98.24,97.28,entsoe.eu
