Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/02/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/03/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/04/2021 00:00,New Zealand,New Zealand,NZ,65.52,101.84,87.03,87.03,Electricity Maps Estimation
01/05/2021 00:00,New Zealand,New Zealand,NZ,65.52,101.84,87.03,87.03,Electricity Maps Estimation
01/06/2021 00:00,New Zealand,New Zealand,NZ,65.52,101.84,87.03,87.03,Electricity Maps Estimation
01/07/2021 00:00,New Zealand,New Zealand,NZ,65.52,101.84,87.03,87.03,Electricity Maps Estimation
01/08/2021 00:00,New Zealand,New Zealand,NZ,65.52,101.84,87.03,87.03,Electricity Maps Estimation
01/09/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/10/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/11/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
01/12/2021 00:00,New Zealand,New Zealand,NZ,65.51,101.83,87.03,87.03,Electricity Maps Estimation
