Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Poland,Poland,PL,800.59,888.56,16.31,15,entsoe.eu
01/02/2021 00:00,Poland,Poland,PL,780.39,865.99,18.94,17.32,entsoe.eu
01/03/2021 00:00,Poland,Poland,PL,751.79,835.18,21.82,19.42,entsoe.eu
01/04/2021 00:00,Poland,Poland,PL,738.63,821.44,23.41,21.31,entsoe.eu
01/05/2021 00:00,Poland,Poland,PL,725.28,807.06,24.76,22.74,entsoe.eu
01/06/2021 00:00,Poland,Poland,PL,782.83,869.67,18.19,16.52,entsoe.eu
01/07/2021 00:00,Poland,Poland,PL,794.96,881.57,17.37,15.65,entsoe.eu
01/08/2021 00:00,Poland,Poland,PL,776.92,861.72,19.64,17.78,entsoe.eu
01/09/2021 00:00,Poland,Poland,PL,805.73,892,16.96,15.74,entsoe.eu
01/10/2021 00:00,Poland,Poland,PL,735.46,817.58,23.27,21.38,entsoe.eu
01/11/2021 00:00,Poland,Poland,PL,776.42,861.49,18.74,17.39,entsoe.eu
01/12/2021 00:00,Poland,Poland,PL,787.12,872.01,18.07,16.78,entsoe.eu
