Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,Russia,Siberia,RU-2,345.21,476.76,40.18,40.13,so-ups.ru
01/02/2023 00:00,Russia,Siberia,RU-2,337.59,467.04,41.51,41.47,so-ups.ru
01/03/2023 00:00,Russia,Siberia,RU-2,335.29,464.12,41.91,41.87,so-ups.ru
01/04/2023 00:00,Russia,Siberia,RU-2,341.26,469.65,40.98,40.76,so-ups.ru
01/05/2023 00:00,Russia,Siberia,RU-2,300.32,414.08,48.07,47.55,so-ups.ru
01/06/2023 00:00,Russia,Siberia,RU-2,230.8,325.02,60.05,59.67,so-ups.ru
01/07/2023 00:00,Russia,Siberia,RU-2,211.98,300.19,63.38,63.09,so-ups.ru
01/08/2023 00:00,Russia,Siberia,RU-2,205.46,291.44,64.52,64.25,Electricity Maps Estimation; so-ups.ru
01/09/2023 00:00,Russia,Siberia,RU-2,214.54,304.08,62.94,62.77,so-ups.ru
01/10/2023 00:00,Russia,Siberia,RU-2,252.51,355.14,56.28,56.17,so-ups.ru
01/11/2023 00:00,Russia,Siberia,RU-2,297.73,415.34,48.36,48.24,so-ups.ru
01/12/2023 00:00,Russia,Siberia,RU-2,321.56,445.92,44.24,43.99,so-ups.ru
