Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Saudi Arabia,Saudi Arabia,SA,381.37,543.7,0.27,0.27,Electricity Maps Estimation
01/02/2021 00:00,Saudi Arabia,Saudi Arabia,SA,385.64,561.77,0.19,0.19,Electricity Maps Estimation
01/03/2021 00:00,Saudi Arabia,Saudi Arabia,SA,386.54,566.14,0.22,0.22,Electricity Maps Estimation
01/04/2021 00:00,Saudi Arabia,Saudi Arabia,SA,386.3,564.85,0.2,0.2,Electricity Maps Estimation
01/05/2021 00:00,Saudi Arabia,Saudi Arabia,SA,384.92,558.61,0.19,0.19,Electricity Maps Estimation
01/06/2021 00:00,Saudi Arabia,Saudi Arabia,SA,382.73,549.4,0.24,0.24,Electricity Maps Estimation
01/07/2021 00:00,Saudi Arabia,Saudi Arabia,SA,384.89,560.2,0.34,0.34,Electricity Maps Estimation
01/08/2021 00:00,Saudi Arabia,Saudi Arabia,SA,383.7,553.88,0.25,0.25,Electricity Maps Estimation
01/09/2021 00:00,Saudi Arabia,Saudi Arabia,SA,383.74,553.78,0.23,0.23,Electricity Maps Estimation
01/10/2021 00:00,Saudi Arabia,Saudi Arabia,SA,383.34,552.82,0.29,0.29,Electricity Maps Estimation
01/11/2021 00:00,Saudi Arabia,Saudi Arabia,SA,383.38,552.23,0.23,0.23,Electricity Maps Estimation
01/12/2021 00:00,Saudi Arabia,Saudi Arabia,SA,379.3,535.3,0.33,0.33,Electricity Maps Estimation
