Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,Sweden,Sweden,SE,4.3,28.58,99.55,69.69,entsoe.eu
01/02/2022 00:00,Sweden,Sweden,SE,3.56,26.46,99.64,70.47,entsoe.eu
01/03/2022 00:00,Sweden,Sweden,SE,3.14,26.49,99.69,66.46,svk.se; entsoe.eu
01/04/2022 00:00,Sweden,Sweden,SE,5.06,28.46,99.46,66.84,svk.se; entsoe.eu
01/05/2022 00:00,Sweden,Sweden,SE,3.8,24.91,99.58,70.71,svk.se; entsoe.eu
01/06/2022 00:00,Sweden,Sweden,SE,2.08,19.71,99.74,68.75,entsoe.eu
01/07/2022 00:00,Sweden,Sweden,SE,1.56,17.23,99.78,67.91,entsoe.eu
01/08/2022 00:00,Sweden,Sweden,SE,1.85,17.79,99.73,66.5,entsoe.eu
01/09/2022 00:00,Sweden,Sweden,SE,4.67,23.73,99.4,71.08,entsoe.eu
01/10/2022 00:00,Sweden,Sweden,SE,2.53,21.44,99.69,68.98,entsoe.eu
01/11/2022 00:00,Sweden,Sweden,SE,3.81,26.05,99.53,71.19,entsoe.eu
01/12/2022 00:00,Sweden,Sweden,SE,10.73,39.24,98.76,73.4,entsoe.eu
