Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2021 00:00,Thailand,Thailand,TH,377.39,486.82,18.65,18.65,Electricity Maps Estimation
01/02/2021 00:00,Thailand,Thailand,TH,388.98,498.04,16.53,16.53,Electricity Maps Estimation
01/03/2021 00:00,Thailand,Thailand,TH,386.52,498.06,14.06,14.06,Electricity Maps Estimation
01/04/2021 00:00,Thailand,Thailand,TH,397.94,507.64,13.64,13.64,Electricity Maps Estimation
01/05/2021 00:00,Thailand,Thailand,TH,389.42,500.21,13.34,13.34,Electricity Maps Estimation
01/06/2021 00:00,Thailand,Thailand,TH,391.37,498.58,15.54,15.54,Electricity Maps Estimation
01/07/2021 00:00,Thailand,Thailand,TH,403.62,510.07,16.08,16.08,Electricity Maps Estimation
01/08/2021 00:00,Thailand,Thailand,TH,405.66,512.46,15.62,15.62,Electricity Maps Estimation
01/09/2021 00:00,Thailand,Thailand,TH,393.21,505.19,13.61,13.61,Electricity Maps Estimation
01/10/2021 00:00,Thailand,Thailand,TH,404.38,513.11,12.99,12.99,Electricity Maps Estimation
01/11/2021 00:00,Thailand,Thailand,TH,402.44,509.44,13.37,13.37,Electricity Maps Estimation
01/12/2021 00:00,Thailand,Thailand,TH,390.36,496.43,18.49,18.49,Electricity Maps Estimation
