Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,Taiwan,Taiwan,TW,421.69,506.86,19.4,10.55,Electricity Maps Estimation; taipower.com.tw
01/02/2023 00:00,Taiwan,Taiwan,TW,416.8,500.96,21.14,12.45,Electricity Maps Estimation; taipower.com.tw
01/03/2023 00:00,Taiwan,Taiwan,TW,427.21,510.34,20.95,13,Electricity Maps Estimation
01/04/2023 00:00,Taiwan,Taiwan,TW,490.9,574.65,13.42,9.75,Electricity Maps Estimation; taipower.com.tw
01/05/2023 00:00,Taiwan,Taiwan,TW,478.9,562.32,14.97,9.5,Electricity Maps Estimation; taipower.com.tw
01/06/2023 00:00,Taiwan,Taiwan,TW,487.08,569.91,14.93,8.82,Electricity Maps Estimation; taipower.com.tw
01/07/2023 00:00,Taiwan,Taiwan,TW,477.88,562.23,15.16,9.29,Electricity Maps Estimation; taipower.com.tw
01/08/2023 00:00,Taiwan,Taiwan,TW,466.41,550.54,16.24,10.3,Electricity Maps Estimation; taipower.com.tw
01/09/2023 00:00,Taiwan,Taiwan,TW,466.73,550.24,16.49,10.4,Electricity Maps Estimation; taipower.com.tw
01/10/2023 00:00,Taiwan,Taiwan,TW,438.67,522.55,18.86,12.47,Electricity Maps Estimation; taipower.com.tw
01/11/2023 00:00,Taiwan,Taiwan,TW,429.23,514.18,19.1,12.06,Electricity Maps Estimation; taipower.com.tw
01/12/2023 00:00,Taiwan,Taiwan,TW,421.97,509.82,18.02,10.77,Electricity Maps Estimation; taipower.com.tw
