Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2022 00:00,USA,USA,US,386.45,451.34,39.98,20.59,
01/02/2022 00:00,USA,USA,US,366.44,428.71,42.66,22.96,
01/03/2022 00:00,USA,USA,US,330.28,389.97,46.64,26.57,
01/04/2022 00:00,USA,USA,US,324.17,384.21,47.02,28.26,
01/05/2022 00:00,USA,USA,US,337.44,400.42,44.31,25.14,
01/06/2022 00:00,USA,USA,US,363.36,430.58,39.59,22.13,
01/07/2022 00:00,USA,USA,US,389.21,460.5,35.13,18.59,
01/08/2022 00:00,USA,USA,US,395.25,467.57,33.84,16.72,
01/09/2022 00:00,USA,USA,US,370.69,440.69,36.85,18.26,
01/10/2022 00:00,USA,USA,US,354.63,421.67,39.78,20.6,
01/11/2022 00:00,USA,USA,US,344.32,409.04,42.32,22.77,
01/12/2022 00:00,USA,USA,US,372.86,439.58,39.55,20.29,
