Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
01/01/2023 00:00,South Africa,South Africa,ZA,625.03,681.83,18.9,14.72,eskom.co.za
01/02/2023 00:00,South Africa,South Africa,ZA,631.13,688.38,18.03,14,Electricity Maps Estimation; eskom.co.za
01/03/2023 00:00,South Africa,South Africa,ZA,639.27,695.2,17.33,13.4,Electricity Maps Estimation; eskom.co.za
01/04/2023 00:00,South Africa,South Africa,ZA,647.25,705.84,15.86,12.07,Electricity Maps Estimation; eskom.co.za
01/05/2023 00:00,South Africa,South Africa,ZA,657.38,718.89,13.95,9.93,Electricity Maps Estimation; eskom.co.za
01/06/2023 00:00,South Africa,South Africa,ZA,651.78,708.67,15.82,12.3,Electricity Maps Estimation; eskom.co.za
01/07/2023 00:00,South Africa,South Africa,ZA,657.27,715.6,15.31,11.67,Electricity Maps Estimation; eskom.co.za
01/08/2023 00:00,South Africa,South Africa,ZA,649.98,706.42,16.54,12.69,eskom.co.za
01/09/2023 00:00,South Africa,South Africa,ZA,645.72,702.27,16.91,12.99,Electricity Maps Estimation; eskom.co.za
01/10/2023 00:00,South Africa,South Africa,ZA,649.08,705.64,16.35,12.68,Electricity Maps Estimation; eskom.co.za
01/11/2023 00:00,South Africa,South Africa,ZA,638.94,699.11,16.49,12.18,Electricity Maps Estimation; eskom.co.za
01/12/2023 00:00,South Africa,South Africa,ZA,637.21,691.14,18.11,13.13,Electricity Maps Estimation; eskom.co.za
