,date,variable,generation_twh
China,01/01/2015,Bioenergy,4.31
China,01/01/2015,Clean,82.33
China,01/01/2015,Coal,336.35
China,01/01/2015,Fossil,350.2
China,01/01/2015,Gas,12.15
China,01/01/2015,Hydro,52.57
China,01/01/2015,Nuclear,11.57
China,01/01/2015,Other Fossil,1.7
China,01/01/2015,Wind,13.88
China,01/01/2015,Wind and solar,13.88
China,01/02/2015,Bioenergy,4.31
China,01/02/2015,Clean,82.15
China,01/02/2015,Coal,336.35
China,01/02/2015,Fossil,350.2
China,01/02/2015,Gas,12.15
China,01/02/2015,Hydro,52.57
China,01/02/2015,Nuclear,11.57
China,01/02/2015,Other Fossil,1.7
China,01/02/2015,Wind,13.7
China,01/02/2015,Wind and solar,13.7
China,01/03/2015,Bioenergy,4.38
China,01/03/2015,Clean,102.46
China,01/03/2015,Coal,341.43
China,01/03/2015,Fossil,355.49
China,01/03/2015,Gas,12.33
China,01/03/2015,Hydro,68.44
China,01/03/2015,Nuclear,12.25
China,01/03/2015,Other Fossil,1.73
China,01/03/2015,Wind,17.39
China,01/03/2015,Wind and solar,17.39
China,01/04/2015,Bioenergy,4.25
China,01/04/2015,Clean,105.39
China,01/04/2015,Coal,331.65
China,01/04/2015,Fossil,345.31
China,01/04/2015,Gas,11.98
China,01/04/2015,Hydro,70.79
China,01/04/2015,Nuclear,12.43
China,01/04/2015,Other Fossil,1.68
China,01/04/2015,Wind,17.92
China,01/04/2015,Wind and solar,17.92
China,01/05/2015,Bioenergy,4.29
China,01/05/2015,Clean,118.78
China,01/05/2015,Coal,334.5
China,01/05/2015,Fossil,348.27
China,01/05/2015,Gas,12.08
China,01/05/2015,Hydro,77.2
China,01/05/2015,Nuclear,13.68
China,01/05/2015,Other Fossil,1.69
China,01/05/2015,Solar,5.43
China,01/05/2015,Wind,18.18
China,01/05/2015,Wind and solar,23.61
China,01/06/2015,Bioenergy,4.18
China,01/06/2015,Clean,144.57
China,01/06/2015,Coal,326
China,01/06/2015,Fossil,339.43
China,01/06/2015,Gas,11.78
China,01/06/2015,Hydro,102.91
China,01/06/2015,Nuclear,15.83
China,01/06/2015,Other Fossil,1.65
China,01/06/2015,Solar,5.21
China,01/06/2015,Wind,16.44
China,01/06/2015,Wind and solar,21.65
China,01/07/2015,Bioenergy,4.53
China,01/07/2015,Clean,148.98
China,01/07/2015,Coal,353.37
China,01/07/2015,Fossil,367.93
China,01/07/2015,Gas,12.77
China,01/07/2015,Hydro,109.72
China,01/07/2015,Nuclear,16.79
China,01/07/2015,Other Fossil,1.79
China,01/07/2015,Solar,5.55
China,01/07/2015,Wind,12.39
China,01/07/2015,Wind and solar,17.94
China,01/08/2015,Bioenergy,4.68
China,01/08/2015,Clean,144.25
China,01/08/2015,Coal,365.18
China,01/08/2015,Fossil,380.22
China,01/08/2015,Gas,13.19
China,01/08/2015,Hydro,104.85
China,01/08/2015,Nuclear,16.86
China,01/08/2015,Other Fossil,1.85
China,01/08/2015,Solar,5.78
China,01/08/2015,Wind,12.08
China,01/08/2015,Wind and solar,17.86
China,01/09/2015,Bioenergy,3.92
China,01/09/2015,Clean,145.1
China,01/09/2015,Coal,305.45
China,01/09/2015,Fossil,318.03
China,01/09/2015,Gas,11.03
China,01/09/2015,Hydro,107.47
China,01/09/2015,Nuclear,15.9
China,01/09/2015,Other Fossil,1.55
China,01/09/2015,Solar,4.98
China,01/09/2015,Wind,12.83
China,01/09/2015,Wind and solar,17.81
China,01/10/2015,Bioenergy,3.87
China,01/10/2015,Clean,140.43
China,01/10/2015,Coal,301.44
China,01/10/2015,Fossil,313.86
China,01/10/2015,Gas,10.89
China,01/10/2015,Hydro,100.12
China,01/10/2015,Nuclear,14.24
China,01/10/2015,Other Fossil,1.53
China,01/10/2015,Solar,4.92
China,01/10/2015,Wind,17.28
China,01/10/2015,Wind and solar,22.2
China,01/11/2015,Bioenergy,4.39
China,01/11/2015,Clean,116.71
China,01/11/2015,Coal,342.11
China,01/11/2015,Fossil,356.2
China,01/11/2015,Gas,12.36
China,01/11/2015,Hydro,77.79
China,01/11/2015,Nuclear,14.45
China,01/11/2015,Other Fossil,1.73
China,01/11/2015,Solar,3.85
China,01/11/2015,Wind,16.23
China,01/11/2015,Wind and solar,20.08
China,01/12/2015,Bioenergy,4.82
China,01/12/2015,Clean,109.8
China,01/12/2015,Coal,375.58
China,01/12/2015,Fossil,391.05
China,01/12/2015,Gas,13.57
China,01/12/2015,Hydro,67.55
China,01/12/2015,Nuclear,16.39
China,01/12/2015,Other Fossil,1.9
China,01/12/2015,Solar,3.77
China,01/12/2015,Wind,17.27
China,01/12/2015,Wind and solar,21.04
